Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost / Manufacturer Price,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],,IMAGE LINK
happy-classic,10179,HAPPY CLASSIC,SNACKS,,N,,,,,,,0,4.80009E+12,,,Y,Y,2,60,,,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=813328347942715
happy-hotnspcy,10181,HAPPY HOTNSPCY,SNACKS,,N,,,,,,,0,4.80009E+12,,,Y,Y,2,45,,,https://almerepinoystore.com/wp-content/uploads/2023/01/happy-classic-nuts-sweet-and-spicy.png
happy-med-colored-diapers,10082,HAPPY MED COLORED DIAPERS,BABY ESSENTIALS,,N,,,,,,,0,4.80229E+12,,,N,Y,230,,,,https://lzd-img-global.slatic.net/g/p/8c16b1b9a232d722fa90af76ed9dca53.png_720x720q80.png
happy-xl-colored,10081,HAPPY XL COLORED,BABY ESSENTIALS,,N,,,,,,,0,4.80229E+12,,,N,Y,280,,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98o-lof74z1btv0l50
head&-shoulders(cool-menthol),10243,HEAD& SHOULDERS(COOL MENTHOL),,,N,,,,,,,7,4.90243E+12,,,Y,Y,9,11,5,,https://down-ph.img.susercontent.com/file/f5f20a2233cb41cddad40dce00435384
h&s-ss,10020,HEAD& SHOULDERS(SMOOTH & SILKY),BATH ESSENTIALS,<p>SMOOTH AND SILKY / PINK</p>,N,,,,,,,0,4.90243E+12,,,Y,Y,9,9,,,https://down-ph.img.susercontent.com/file/ph-11134207-7r98q-lv2qvmc3lic409
hiho-garlic,10184,HIHO GARLIC,SNACKS,,N,,,,,,,0,4.80009E+12,,,Y,Y,2,45,,,https://shopsuki.ph/cdn/shop/files/4800092331619_800x.jpg?v=1696400089
hobe-chkn-stnghn,10200,HOBE CHKN STNGHN,FOOD,,N,,,,,,,27.49,4.80053E+12,,,Y,Y,32.5,12,,,https://negosentro.com/wp-content/uploads/2023/08/HOBE_NEGO_0-1.jpg
hobe-instant-sotanghon,10199,HOBE INSTANT SOTANGHON,FOOD,,N,,,,,,,27.49,4.80053E+12,,,Y,Y,32.5,12,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rdxn-mchm1jecnysmfc
holiday-beef-loaf,10260,HOLIDAY BEEF LOAF,FOOD,,N,,,,,,,21,4.80007E+12,,,Y,Y,25,12,,,https://down-ph.img.susercontent.com/file/ac80261edfbe8277a63febf4def664a6
holiday-luncheon-meat,10071,HOLIDAY LUNCHEON MEAT,FOOD,,N,,,,,,,0,4.80007E+12,,,Y,Y,38,9,,,https://img.lazcdn.com/g/p/a400379a3ad5c455b45b97200cceee0b.jpg_720x720q80.jpg
holiday-p&b-170g,10036,HOLIDAY P&B 170G,FOOD,,N,,,,,,,0,4.80007E+12,,,Y,Y,23,30,,,https://down-ph.img.susercontent.com/file/ph-11134207-81ztc-mg4l1m6y1nnz55
holiday-spicy-corned-beef,10069,HOLIDAY SPICY CORNED BEEF,FOOD,,N,,,,,,,0,4.80007E+12,,,Y,Y,38,2,,,https://down-ph.img.susercontent.com/file/029a92e24888d315be840dc3a770bbff
holiday-vienna-sausage,10070,HOLIDAY VIENNA SAUSAGE,FOOD,,N,,,,,,,0,4.80007E+12,,,Y,Y,45,28,,,https://down-ph.img.susercontent.com/file/ce6e10d899909233b8eab4d7462f243b
ice-cube-1kl,10298,ICE CUBE 1KG,ICE,,Y,,,,,,,13,,,,Y,Y,25,10,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rd6z-m7qnqircj2f731
ice-cube-2kg,10299,ICE CUBE 2KG,ICE,,Y,,,,,,,24,,,,Y,Y,35,5,,,https://down-ph.img.susercontent.com/file/ph-11134207-7rasb-m3uipiwkkhpbd4
ice-cube-3kg,10300,ICE CUBE 3KG,ICE,,N,,,,,,,33,,,,Y,Y,45,5,,,https://down-ph.img.susercontent.com/file/sg-11134201-7rd6z-m7qnqircj2f731
keratin-plus-(gold)-20g,10242,KERATIN PLUS (GOLD) 20g,HOME ESSENTIALS,,N,,,,,,,6,4.80652E+12,,,Y,Y,10,24,5,,https://down-ph.img.susercontent.com/file/d454363ae0149395cab1d46c98630b66
kopiko-blanca,10175,KOPIKO BLANCA 2PK,FOOD,,N,,,,,,,0,8.99867E+12,,,Y,Y,15,10,,,https://cf.shopee.ph/file/8d6b526193030271c7b0db54fa9e4c12
kopiko-blk,10174,KOPIKO BLK 2PK,FOOD,,N,,,,,,,0,8.99867E+12,,,Y,Y,15,10,,,https://down-ph.img.susercontent.com/file/ph-11134208-81ztc-mf1yigwgxmhb0d
kopiko-brown,10176,KOPIKO BROWN 2PK,FOOD,,N,,,,,,,0,8.99867E+12,,,Y,Y,15,10,,,https://down-ph.img.susercontent.com/file/566c92b60d81529b51bc96aaf5cccc83
kropek-ni-mangjuan,10226,KROPEK NI MANGJUAN,SNACKS,,N,,,,,,,23.01,4.80002E+12,,,Y,Y,29.5,18,,,https://down-ph.img.susercontent.com/file/ph-11134201-7qul4-ljf7cg3f0wv017
la-mia-tuna-afrtda,10233,LA MIA TUNA AFRTDA,FOOD,,N,,,,,,,33.18,,,,Y,Y,38,15,,,http://www.lamia.ph/wp-content/uploads/2024/01/Afritada_Tuna-Products-527x800.png
