Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Route 98 - Minimart],Price [Route 98 - Minimart],In stock [Route 98 - Minimart],Low stock [Route 98 - Minimart],IMAGE LINK
happy-med-colored-diapers,10082,HAPPY MED COLORED DIAPERS,BABY ESSENTIALS,,N,,,,,,,0,4802288852120,,,N,Y,230,,,https://lzd-img-global.slatic.net/g/p/9085893af8ccb0495e8c08067063a32b.png_720x720q80.png
happy-xl-colored,10081,HAPPY XL COLORED,BABY ESSENTIALS,,N,,,,,,,0,4802288864123,,,N,Y,280,,,https://visualeducation.com/wp-content/uploads/2017/05/packshot_kalr_taylor-1024x768.jpg
head&-shoulders(cool-menthol),10243,HEAD& SHOULDERS(COOL MENTHOL),,,N,,,,,,,7,4902430333597,,,Y,Y,9,11,5,https://incidecoder-content.storage.googleapis.com/f534b02d-e930-42aa-b2b4-bdd8437edcbf/products/head-and-shoulders-cool-menthol/head-and-shoulders-cool-menthol_front_photo_original.jpeg
h&s-ss,10020,HEAD& SHOULDERS(SMOOTH & SILKY),BATH ESSENTIALS,<p>SMOOTH AND SILKY / PINK</p>,N,,,,,,,0,4902430698658,,,Y,Y,9,9,,https://i5.walmartimages.com/seo/Head-and-Shoulders-2-in-1-Dandruff-Shampoo-and-Conditioner-Smooth-and-Silky-12-5-oz_60ec9e5e-e789-44eb-beb3-2b2fc25d839e.d9ea9a9fd9ebaae8d2c95a6e299711d4.jpeg
hiho-garlic,10184,HIHO GARLIC,SNACKS,,N,,,,,,,0,4800092331619,,,Y,Y,2,44,,https://thumbs.dreamstime.com/b/garlic-plain-white-background-product-photography-garlic-plain-white-background-isolated-product-photography-studio-286939046.jpg
hobe-chkn-stnghn,10200,HOBE CHKN STNGHN,FOOD,,N,,,,,,,27.49,4800528453601,,,Y,Y,32.5,12,,https://shopsuki.ph/cdn/shop/files/4809011817296_1024x.jpg?v=1697527324
hobe-instant-sotanghon,10199,HOBE INSTANT SOTANGHON,FOOD,,N,,,,,,,27.49,4800528453618,,,Y,Y,32.5,12,,https://shopsuki.ph/cdn/shop/files/4809011817296_1024x.jpg?v=1697527324
holiday-beef-loaf,10260,HOLIDAY BEEF LOAF,FOOD,,N,,,,,,,21,4800066121154,,,Y,Y,25,10,,https://avicatransport.com/cdn/shop/products/holibl150g.jpg?v=1675415195
holiday-luncheon-meat,10071,HOLIDAY LUNCHEON MEAT,FOOD,,N,,,,,,,0,4800066129150,,,Y,Y,38,7,,https://chefsdepot.ca/wp-content/uploads/2022/09/L2615490.jpg
holiday-p&b-170g,10036,HOLIDAY P&B 170G,FOOD,,N,,,,,,,0,4800066120171,,,Y,Y,23,30,,https://shopsuki.ph/cdn/shop/files/4800066120171_1024x.jpg?v=1734590592
